2	1.91933
2.127	1.47912
2.254	1.0654
2.381	0.68632
2.508	0.34951
2.635	0.06141
2.762	-0.17236
2.889	-0.34745
3.016	-0.46072
3.143	-0.51017
3.27	-0.4952
3.397	-0.41652
3.524	-0.2761
3.651	-0.07702
3.778	0.17621
3.905	0.47814
4.032	0.8221
4.159	1.20055
4.286	1.60526
4.413	2.02706
4.54	2.4566
4.667	2.88369
4.794	3.29844
4.921	3.69048
5.048	4.04966
5.175	4.36618
5.302	4.63064
5.429	4.83418
5.556	4.96876
5.683	5.02692
5.81	5.0026
5.937	4.89047
6.064	4.68641
6.191	4.38754
6.318	3.99246
6.445	3.50072
6.572	2.91342
6.699	2.23269
6.826	1.46217
6.953	0.60659
7.08	-0.32824
7.207	-1.33544
7.334	-2.4074
7.461	-3.5355
7.588	-4.71049
7.715	-5.92288
7.842	-7.16253
7.969	-8.41927
8.096	-9.6829
8.223	-10.94336
8.35	-12.1908
8.477	-13.41621
8.604	-14.61062
8.731	-15.7663
8.858	-16.8762
8.985	-17.93426
9.112	-18.93567
9.239	-19.87649
9.366	-20.75433
9.493	-21.56782
9.62	-22.31714
9.747	-23.0036
9.874	-23.6298
10.001	-24.1996
10.128	-24.71799
