Hàm sinh data: f(x) = ln[2x + x^2 + 10cos^2(x)] + random.normal(0, 0.1)

2	2.91934
2.127	2.54261
2.254	2.19237
2.381	1.87683
2.508	1.60348
2.635	1.37889
2.762	1.20866
2.889	1.09707
3.016	1.04727
3.143	1.06133
3.27	1.13981
3.397	1.28191
3.524	1.48587
3.651	1.74851
3.778	2.0652
3.905	2.43061
4.032	2.83807
4.159	3.28006
4.286	3.74818
4.413	4.23357
4.54	4.72653
4.667	5.21725
4.794	5.69544
4.921	6.15099
5.048	6.57364
5.175	6.95367
5.302	7.28159
5.429	7.54867
5.556	7.74671
5.683	7.86843
5.81	7.90756
5.937	7.85889
6.064	7.71837
6.191	7.48312
6.318	7.1515
6.445	6.72326
6.572	6.19937
6.699	5.58222
6.826	4.87519
6.953	4.08317
7.08	3.21177
7.207	2.26804
7.334	1.25956
7.461	0.19505
7.588	-0.91657
7.715	-2.06535
7.842	-3.24156
7.969	-4.4348
8.096	-5.63485
8.223	-6.83183
8.35	-8.01583
8.477	-9.17768
8.604	-10.30865
8.731	-11.40086
8.858	-12.44723
8.985	-13.44175
9.112	-14.37959
9.239	-15.25698
9.366	-16.07129
9.493	-16.8213
9.62	-17.50716
9.747	-18.13017
9.874	-18.69284
10.001	-19.19908
10.128	-19.65393
